product_name,product_url,product_price,product_rating,product_shipping,product_reviews,childrens_mask,z_score_price,ear_loops,mask_pack,reusable
Clip: Lego Set Builds Bionicle - Artifex,https://www.amazon.com/Clip-Lego-Bionicle-Skull-Slicer/dp/B01NA7F4RC/ref=sr_1_42?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-42,NA,NA,Charge,0,1,NA,0,0,0
"Ma sk Ear Cord Extension Buckle, Suitable for Adults and Children,12 Pcs Adjustable Ma sk Ear Strap Hook for Ma sks Anti-Slip Silicone Ma sk Strap Extender Relieve Pressure and Pain for Ears",https://www.amazon.com/Extension-Suitable-Children-Adjustable-Anti-Slip/dp/B0874P3HKR/ref=sr_1_43?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-43,15,3.9,FREE: Orders over $25,6,1,-0.110724019,0,1,0
"CHAMSON Mask Extension Hook Adjustable, Anti-Slip Mask Buckle Strap, Relieves Discomfort and Pain in Your Ears, Compatible with All Kinds of Mask (10, White)",https://www.amazon.com/CHAMSON-Extension-Adjustable-Discomfort-Compatible/dp/B087GCVM54/ref=sr_1_44?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-44,8,4.7,FREE: Orders over $25,11,1,-0.940741012,0,0,0
Breathing Protection Respirators (Pack of 1) Comfortable and Excellent Against Harmful Air Particle Suitable for children,https://www.amazon.com/Respiradores-protecci%C3%B3n-respiratoria-excelentes-part%C3%ADculas/dp/B087YXMJMQ/ref=sr_1_45?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-45,18,4.6,FREE: Orders over $25,13,1,0.24499755,0,1,0
COOLINKO Anime Face Mask - Reusable Washable Anti Dust Cotton Mouth Protector - Cartoon Fashion Cosplay Muffle,https://www.amazon.com/COOLINKO-Anime-Face-Mask-Protector/dp/B08741Z14Q/ref=sr_1_46?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-46,11,4.3,FREE Shipping,38,1,-0.585019444,0,0,1
Breathing Protection Respirators (Pack of 1) Comfortable and Excellent Against Harmful Air Particle Suitable for children,https://www.amazon.com/Breathing-Protection-Respirators-Comfortable-Excellent/dp/B087YY5NRT/ref=sr_1_47?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-47,18,4.2,FREE: Orders over $25,19,1,0.24499755,0,1,0
Los Angeles Apparel Kids Face Mask 3 Pack Child Unisex Protective Reusable [Same Day Shipping] [Made in USA] (Black),https://www.amazon.com/Los-Angeles-Apparel-Protective-Reusable/dp/B088D8QYLW/ref=sr_1_48?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-48,30,5,FREE Shipping,1,1,1.667883824,0,1,1
Evere Captain Kid Reusable Face Cotton Superhero Double Layers Face Cover Cosplay Costume Accessories,https://www.amazon.com/Evere-Reusable-Superhero-Cosplay-Accessories/dp/B08939XBMT/ref=sr_1_49?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-49,NA,1,Charge,0,1,NA,0,0,1
"Mask Strap Extender, Mask Holder Hook Ear Strap Accessories Ear Grips Extension Mask Buckle Ear Pain Relieved, Ear Protector Special For Reducing For Doctor Adult Children 3 Pcs (Blue, White, Black)",https://www.amazon.com/Extender-Accessories-Extension-Relieved-Protector/dp/B089CQTQHZ/ref=sr_1_50?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-50,9,NA,FREE: Orders over $25,0,1,-0.822167156,0,1,0
"Children's Seamless Face Bandanas, with 8 Filter Sheet(4pcs Cover)",https://www.amazon.com/Bandanas-faciales-costuras-filtro-unidades/dp/B088C3C4ZP/ref=sr_1_51?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-51,11,4.5,FREE Shipping,4,1,-0.585019444,0,1,0
10/20/50/100PC Disposable Protective Face Guards for Kids - 3-Ply Breathable Face Scarf with Elastic Earloop by Pgojuni,https://www.amazon.com/100PC-Disposable-Protective-Face-Guards/dp/B0881RB9YT/ref=sr_1_52?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-52,33,3,Charge,4,1,2.023605392,1,0,0
QEQWRTUI The Hedgehog Children Dust Mask Adjustable Half Face Cover Balaclava Bandanas for Outdoor One Piece,https://www.amazon.com/QEQWRTUI-Hedgehog-Children-Adjustable-Balaclava/dp/B088BPHJ3B/ref=sr_1_53?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-53,8,NA,Charge,0,1,-0.940741012,0,0,0
Breathing Protection Respirators (1Pcs) Comfortable and Excellent Against Harmful Air Particle,https://www.amazon.com/Breathing-Protection-Respirators-Comfortable-Excellent/dp/B08837NPRC/ref=sr_1_54?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-54,16,3,FREE: Orders over $25,37,1,0.007849837,0,1,0
"EVERMARKET Anti-dust Black Mouth Mask, Unisex Cotton Face Mask Muffle Mask Anime Mask for Cycling Camping Travel for Kids Teens Men Women, Pack of 1",https://www.amazon.com/EVERMARKET-Anti-dust-Unisex-Cycling-Camping/dp/B084VJ7QQ8/ref=sr_1_55?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-55,6,3.2,FREE: Orders over $25,402,1,-1.177888725,0,1,0
"Kids Neck Gaiter for 6-14 Years Olds with Carbon Filter, UV ProtectionFace Cover for Hot Summer Cycling Hiking SportOutdoor",https://www.amazon.com/Protective-Balaclava-Headwear-Headgear-Breathable/dp/B08769Z512/ref=sr_1_56?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-56,18,4.2,FREE: Orders over $25,21,1,0.24499755,0,0,0
Fashion Mouth Protection Unisex Washable and Reusable Cotton Warm Face Protection with Adjustable Bridge Design (3-Pack Black),https://www.amazon.com/Fashion-Protection-Washable-Reusable-Adjustable/dp/B0855PDTYG/ref=sr_1_57?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-57,15,3.9,FREE: Orders over $25,993,1,-0.110724019,0,1,1
Face Masks!: A Book About Staying Healthy and Safe During High-Risk Times,https://www.amazon.com/Face-Masks-Staying-Healthy-High-Risk/dp/B0892DHD8W/ref=sr_1_58?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-58,11,4.8,FREE: Orders over $25,9,1,-0.585019444,0,0,0
Dust Cotton Saw Dust Face Cover Cute Unisex Mouth Face Protection Cover for Adult - Dust-proof Face Protection for Outdoor Ski Cycling Camping,https://www.amazon.com/Cotton-Cover-Unisex-Mouth-Protection/dp/B0876SP25T/ref=sr_1_59?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-59,12,4.3,FREE: Orders over $25,78,1,-0.466445588,0,0,0
Multifunctional Neck Headwear Face Mask 12 in 1 Bike Motorcycle Hiking dust-Proof Anti-Spray for Women Men Face Scarf Bandana,https://www.amazon.com/REDESS-Winter-Fleece-Infant-Toddler/dp/B07JKZ6NK7/ref=sr_1_60?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-60,8,4.8,FREE: Orders over $25,13,1,-0.940741012,0,0,0
12 Pack Ear Grips Strap Hook Adjustable Extension Strap Comfortable Ear Loop Tightness to Relax Ears for Adult and Child 10 Pack Extension Buckle with 2 Pair Silicone Earmuffs,https://www.amazon.com/Adjustable-Extension-Comfortable-Tightness-Silicone/dp/B088D4RWMD/ref=sr_1_61?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-61,8,3,FREE: Orders over $25,1,1,-0.940741012,1,1,0
"LiteBee Cotton Mask with Breath Valves for Kids, 3pcs Washable Reusable Cloth Mask Cute Cotton Face Mask, 3pcs Activated Carbon Pm 2.5 Tablets for Outdoor Activities",https://www.amazon.com/LiteBee-Washable-Reusable-Activated-Activities/dp/B087WZB34B/ref=sr_1_62?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-62,15,4.8,FREE Shipping,7,1,-0.110724019,0,1,1
"Single Use Disposable Face Mask (Pack of 50), Blue",https://www.amazon.com/Single-Disposable-Face-Mask-Pack/dp/B086T638CS/ref=sr_1_63?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-63,29,3.3,FREE Shipping by Amazon,479,1,1.549309968,0,1,0
Fashion Washable Anti Dust Windproof Cotton Face Mask For Child Cute Smart Masks (Kitty) Reusable/INSIDE: 1 MASK and 2PCS Replacement Filters,https://www.amazon.com/Fashion-Washable-Windproof-Cotton-Reusable/dp/B08748Y2CC/ref=sr_1_64?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-64,24,5,FREE: Orders over $25,2,1,0.956440687,0,1,1
